station_location,station_address,station_country,station_zipcode,station_latitude,station_longitude,station_opening_hours,stations_category
AIA Alexandra,"371 Alexandra Road, AIA Alexandra",Singapore,159963,1.284724,103.80270,24 hrs,292
AIA Building,3 Tampines Grande,Singapore,528799,1.354484,103.94188,24 hrs,293
AIA Finlayson,1 Finlayson Green,Singapore,49246,1.282353,103.85130,24 hrs,292
SCB Changi Business Park,7 Changi Business Park Crescent,Singapore,486028,1.334745,103.96665,7am-8pm,295
Maybank Textile Centre,"200 Jalan Sultan #01-02, Textile Centre",Singapore,199018,1.303493,103.86134,24 hrs,292
Maybank Clementi,3151 Commonwealth Avenue West #01-01/06,Singapore,129581,1.314203,103.76518,24 hrs,296
The Plaza,"7500E Beach Road Level 1, The Plaza",Singapore,199595,1.299873,103.86073,24 hrs,292
Citibank HDB Hub,480 Toa Payoh Lorong 6 Level 1,Singapore,310480,1.332169,103.84866,24 hrs,292
Citibank Changi Business Park Branch,"3 Changi Business Park Cresent, Level 1",Singapore,486026,1.334130,103.96582,24 hrs,295
Citibank Takashimaya ATM Lobby,391 Orchard Road #B1,Singapore,238873,1.302665,103.83433,7am - 10pm,292
Tanjong Pagar MRT Station,120 Maxwell Road,Singapore,69119,1.276436,103.84571,6am-11.59pm,292
Somerset MRT Station,1 Somerset Road,Singapore,238162,1.300395,103.84464,24 hrs,292
Yio Chu Kang MRT Station,3000 Ang Mo Kio Avenue 8,Singapore,569813,1.381901,103.84483,24 hrs,292
Ang Mo Kio MRT Station,2450 Ang Mo Kio Avenue 8,Singapore,569811,1.370015,103.84945,24 hrs,292
Redhill MRT Station,920 Tiong Bahru Road,Singapore,158792,1.289731,103.81675,24 hrs,292
Yew Tee MRT Station,61 Choa Chu Kang Drive,Singapore,689715,1.397563,103.74734,24 hrs,296
Admiralty MRT Station,70 Woodlands Avenue 7,Singapore,738344,1.440686,103.80093,24 hrs,294
Yishun MRT Station,301 Yishun Avenue 2,Singapore,769093,1.429460,103.83519,6am-11.59pm,294
Khatib MRT Station,201 Yishun Avenue 2,Singapore,769092,1.417360,103.83295,6am-11.59pm,294
Eunos MRT Station,30 Eunos Cresent,Singapore,409423,1.319720,103.90311,6am-11.59pm,295
